No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
399,Annual,507365,311205,FALSE,-43.582993,-4.795006,0.30521047,0.361738465,6.7246127,0.4270931,1.317311543,1.141264546
413,Annual,505145,339485,TRUE,-21.270987,-0.22653484,0.7303221,0.831094706,0.19117002,0.118265755,15.1495129,2.646960178
423,Multiannual,487395,125045,TRUE,-4840.4976,-1.563483,0.35751268,0.37811027,1.4838679,3.434046,45.12096925,0.314108729
430,Decadal,510715,420895,TRUE,-77.77981,-0.029341578,0.4216589,0.355170185,1.527616,0.3316543,6.648543045,0.39731749
466,Annual,498905,375335,FALSE,-0.8001654,0.34653938,0.4636599,0.539980934,1.0701327,1.366651,4.477153777,0.702547852
469,Annual,594729,165259,TRUE,-70.808266,-0.31343496,0.2771896,0.314661924,0.28456196,0.16885337,10.27694659,0.873362636
489,Annual,454185,123415,TRUE,-5.7289734,0.01753366,0.66583765,0.683872953,0.3429857,0.35045585,18.6796224,4.980199952
512,Annual,503035,368725,FALSE,-3082.8062,-1.4816256,0.4412126,0.488571612,1.9263052,3.2334483,7.771311516,0.129810985
516,Annual,493890,428182,TRUE,-0.9193846,-0.24055159,0.39286387,0.699358535,0.42344016,0.08461339,6.426906755,3.745585163
518,Annual,414140,126240,TRUE,-49.4329,-1.2678862,-0.17399341,-0.167362424,0.6364189,2.9060097,11.81084107,0.679169917
519,Decadal,556409,97729,TRUE,-12246.558,-8.538569,-0.2906257,-0.293408162,0.76304054,10.447947,72.83048385,0.156686952
523,Annual,504835,362615,FALSE,-1308.7134,-4.4597335,0.41666126,0.722887632,0.48001993,6.4035482,15.32188285,0.223293984
524,Annual,292214,80512,TRUE,-920.8176,-12.188471,0.5515075,0.577503483,1.9168532,14.148934,23.49952421,0.794056774
534,Multiannual,505649,194842,TRUE,-2637.2046,-4.9765716,0.3452316,0.47213022,0.4153912,6.911788,23.00829284,0.264087385
547,Annual,443980,177743,TRUE,-15.7461605,-0.20178735,0.6465211,0.654901691,0.256239,0.12469146,19.63674059,3.663664281
565,Annual,503815,102495,TRUE,-6.9926596,-0.73942995,0.15128067,0.189866448,0.91362405,2.5158668,5.011843392,0.362737871
