No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
1648,Annual,493325,420065,FALSE,-0.06912923,0.5041863,0.65025264,0.636685589,0.7892173,0.71879107,6.974872194,2.106156453
1669,Annual,496135,403075,FALSE,-102.376854,-0.44766438,0.55647814,0.614189086,1.7669331,2.144925,3.503369411,0.268465771
1690,Annual,458525,132895,TRUE,-4412.1343,-4.038566,0.72003716,0.78540118,4.768633,4.332618,3.197584766,0.181676672
1719,Annual,535185,379535,FALSE,-142.3878,-1.792702,0.5452193,0.541647565,1.6174413,3.6853569,21.8647021,1.171385919
1722,Annual,497225,398725,FALSE,-76.184845,0.34826452,0.6755766,0.72516505,0.45969802,0.8339228,6.432804739,0.397078754
1726,Annual,504315,345355,TRUE,-5.946589,-0.14337897,0.72851133,0.676049294,1.7754517,0.20483674,4.057757427,1.263388785
1744,Annual,502495,373225,FALSE,-338.64255,-0.016739607,0.72852755,0.749966653,0.19542858,0.44078064,17.70252392,0.773467333
1755,Annual,506425,354925,TRUE,0.20353204,0.11359179,0.5760261,0.578186255,0.9814569,0.22178304,7.176696073,2.521309915
1767,Annual,495005,414325,FALSE,-0.908273,0.3238275,0.5578155,0.59949855,1.0531101,1.5087864,7.894322165,0.746924988
1768,Annual,555675,367865,FALSE,-3.552525,-0.12838948,0.09943871,0.090658016,1.5555066,0.60799915,1.471374326,0.449683217
1777,Annual,417605,195685,TRUE,-106.372955,-4.414225,0.54462993,0.56522488,6.341663,1.7570916,0.955861592,0.497811172
1783,Annual,418226,121962,TRUE,-4.460881,0.3652888,0.8117006,0.839810517,0.8856389,1.5952537,9.128858595,0.491823859
1790,Annual,540406,245699,TRUE,-1108.6777,-5.0989137,0.52705336,0.45572036,7.0420594,1.6831617,0.777212661,0.141100866
1804,Annual,505485,373565,FALSE,0.26244903,0.16348028,0.88372344,0.845729061,1.0536131,0.1733378,2.518920473,1.14667649
1814,Annual,346005,445005,TRUE,-1.5414987,0.09824014,0.90416986,0.889351783,0.7923589,1.8722869,1.580257512,0.275186112
1822,Multiannual,498905,408765,FALSE,-9.117998,-2.4555206,0.5615636,0.534158093,4.408662,0.6401647,0.513772293,0.57037939
1827,Annual,570359,129219,FALSE,-24.653988,-0.003005028,0.118279494,0.17397469,1.3704435,1.3022598,8.915647663,0.684719144
1831,Multiannual,518824,245735,FALSE,-829.2662,-2.6450474,0.8176838,0.822496729,3.8645875,3.246637,1.551469263,0.154821945
1832,Multiannual,470084,184289,TRUE,-2761.0352,-0.37014294,-0.014989302,0.180524301,0.17422767,0.59356654,76.95067844,1.209388819
1841,Annual,608471,320417,TRUE,-424.4757,-52.718933,0.402647,0.496913083,54.694057,2.5445035,0.083772564,0.219471115
1846,Annual,436720,169680,TRUE,-12.265729,0.32295334,0.8147063,0.858918357,0.6923481,1.5739431,10.42310053,0.912367072
1853,Annual,424055,188965,TRUE,-9116.658,-10.507248,0.72024953,0.738248899,9.316975,8.947776,2.478875725,0.216724592
1869,Annual,516838,171678,FALSE,-378.3811,-1.4958463,0.7316769,0.703595199,1.7467562,3.366366,5.055942158,0.195760077
1872,Annual,470825,137595,TRUE,-2.652025,0.41385436,0.68906426,0.663198834,1.4644299,0.82339144,7.740519458,2.038893839
1876,Annual,421102,142370,TRUE,-299.6896,0.070424914,0.56742007,0.590746902,0.2868704,1.4104037,47.04541291,1.939240363
1877,Annual,525462,109983,TRUE,-324.8028,-1.9485893,0.4478752,0.422218466,1.4351335,3.8635676,38.39461289,0.943815734
