No,Wavelet transform,easting,northing,lat,long,NSE_train,KGE_train,Pearson_r_train,Spearman_r_train,Mean_ratio_train,STD_ratio_train,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test
3247,Annual,440420,472600,54.147629,-1.382678,0.43690938,0.5459158,0.66310036,0.629435573,0.9888254,0.6957554,-4.276569,0.21606588,0.67623025,0.711641906,1.4680012,1.539177
3271,Annual,294414,88985,50.690899,-3.496162,0.27362764,0.6502058,0.6892323,0.676722956,0.9082265,1.1317482,0.13221556,0.42676163,0.6475562,0.677938524,1.451941,1.0119784
3272,Annual,294412,88985,50.690899,-3.49619,0.6765518,0.7066169,0.8332058,0.841410039,1.2176533,0.89567786,0.575781,0.6257367,0.7776128,0.8001663,0.73578084,0.85577035
3277,Multiannual,311125,97442,50.769728,-3.261688,0.4573654,0.7429844,0.75949407,0.750891079,1.0017669,1.0906172,0.1963386,0.63171434,0.64429426,0.683187838,1.0017847,1.0954224
3290,Multiannual,306612,85454,50.661243,-3.322631,0.91728157,0.9478394,0.95842195,0.938495942,1.0061703,0.9691152,-0.9016818,0.48438513,0.77131116,0.707808256,1.0980844,1.4515991
3291,Multiannual,307767,86052,50.666804,-3.306444,0.71890116,0.85450363,0.8741845,0.854598253,1.0025948,1.0730293,-2.6809933,-0.21172476,-0.20156619,-0.233227513,0.98456997,1.1558181
3312,Annual,452558,452558,53.966423,-1.200335,0.29014927,0.66546196,0.67661154,0.651471495,1.0015186,1.0856394,-0.31133962,0.508216,0.61966044,0.651399192,0.9700595,1.3103247
3315,Annual,507701,462199,54.044507,-0.356661,-0.50874114,0.5386497,0.57291853,0.496033172,1.1744556,1.003404,-0.35366285,0.37850422,0.47911102,0.498891585,1.176295,0.7104325
3318,Annual,502245,458248,54.01012,-0.441278,0.78383744,0.8093113,0.887864,0.90517889,1.0263988,0.84804505,0.7467493,0.7613423,0.886296,0.910552243,1.0703048,0.8022997
3319,Annual,502231,458262,54.010248,-0.441487,0.78544223,0.8026885,0.89056706,0.895704491,1.0861177,0.86021477,0.42700928,0.33331466,0.85339904,0.875716147,1.6051406,0.7616991
