No,P,PET,tas,dtr,huss,sfcWind,psurf,rlds,rsds
2564,2.1438581815899163,1.398736549981037,283.03079940739707,8.220511404051232,0.006527100178657943,3.5858897334041027,100172.48276625364,319.37246334771913,119.60254682797346
2566,1.7463316147519201,1.3671393466659738,282.65647631676643,7.343361653543089,0.006263581232108218,3.8555215812810797,101037.30131764815,320.2235493846582,111.59073987857906
2567,2.1486101439423257,1.4038306582892985,283.1869306988723,8.220511404051232,0.006581110222748155,3.5701147058288085,100451.95853311058,319.9901809448234,120.0249504176296
2570,2.1786718612402707,1.4443806301745241,282.77818716970626,7.6737342888579505,0.006441749350192584,4.563792138084366,99768.23357278759,319.7673432859993,117.74338683878602
2572,2.061172211522882,1.4188341131394704,283.4122487841663,6.38185531147153,0.006752654399034759,4.049097415135738,100700.57023295746,320.0371206742773,120.88976444243352
2577,2.2439277909462714,1.382403467115134,282.49352720219036,7.555826268095967,0.006275718530122047,3.855913827084319,99911.23176388697,319.71969020650613,113.93832376386375
2580,1.7802264589410601,1.420455969290057,283.099866273609,8.253918986570142,0.00655648651155042,4.519375664304143,100296.82979261217,318.645756717249,115.30051582683652
2595,2.448169285914428,1.4431219042929722,283.4590525384009,7.384454043839622,0.006701602806705648,4.264563891554596,100771.39735648985,320.60608123068357,120.55573081544388
2603,2.2251241353227758,1.4613805149431847,282.74805336071285,7.6737342888579505,0.006436446510074714,4.571400010036197,99699.71640289572,319.6453083498074,119.68253356113973
2604,1.9527031410741906,1.425791776286161,282.61445514919484,7.724265634980741,0.006330377376397977,4.633725178256531,99965.34974133372,320.3058236720962,113.67658363202469
2608,1.6861478479451975,1.499414884694783,283.1984836252263,6.523908308283446,0.006588953421745788,5.423954624615991,101333.69515105108,319.599167049051,119.70438859123394
2610,1.5500951310956803,1.416429241939937,283.63699004130126,7.991563421857163,0.00667038374026173,3.7223908923400164,101484.43146596132,321.53736553343543,116.03799023390876
2612,2.244526425344169,1.436089309617567,282.7886832702213,7.947018428650982,0.006459226618149335,4.440825323875818,99686.24503782077,318.9120174629914,118.67122394607638
2615,1.7743561175891729,1.4348369834151387,282.68831593298995,8.117657443036801,0.006319623280138288,4.700726410024131,100381.11934706949,319.31444695763145,112.47386042920785
2616,1.8637895012716874,1.4059286804160385,282.97176291568053,7.724265634980741,0.006461808240809318,3.931475486041115,100513.78928859808,321.9777705081442,115.48037744477702
2617,1.78352127608809,1.3936316214737936,282.7584490213003,6.690779161255743,0.006368298335078194,4.190843963032716,100875.00947120518,319.67523325305115,114.07295773980232
2618,1.7563552820118988,1.415067829228243,282.6692640238526,6.690779161255743,0.006328336713415937,4.878660621278482,100769.71748735438,319.5100681131375,112.05707326887557
2622,2.1747088028378254,1.3989537451689782,283.3278882486426,5.778736838939162,0.0067444009991461315,4.268883237962783,100608.7233305954,319.0652306055965,121.0481020719059
2627,1.6823564877714938,1.454331900978121,283.0222554953826,7.887920561650193,0.0064115383877581325,4.763203149925751,101250.23654782125,320.9023661826535,112.81361552014016
2629,1.9215555239144906,1.4101718849673996,282.817295197921,7.1741658620956885,0.00645452077785512,4.519031024157966,100772.66306325121,318.3821828720591,116.49338923987193
2630,1.8258063013418837,1.4609014205439033,283.07319668244463,7.636595673455845,0.006503681720362894,4.671260766883382,100583.70943825699,322.1364983929648,116.2475353347255
2631,1.6886537636962429,1.4089665170261532,282.9893247157641,7.6884588732284564,0.006396700162169938,3.998521304350875,101282.07797712191,321.048951740684,113.54853742570423
2636,1.502802912214115,1.4318035529952424,283.3441961501694,7.94099030807462,0.006529134052007054,3.924235728682398,101226.24752118425,320.8420628135877,114.89106828894613
2642,1.6870481203432943,1.4227348768706478,282.9352539732703,7.768495065580769,0.00642279228203629,3.8130143778022183,100293.87806598913,319.01395522854887,116.98077535734836
2643,1.7478862115176375,1.390105863359666,282.3708425490742,6.943853547477842,0.00616742513757947,4.534900110129472,100716.37037704767,318.94339123950067,111.18735042461368
2649,2.43041440359342,1.3149514303079313,283.0270011067799,5.977641656759015,0.006604280069195786,4.967527110492366,100016.22280504898,317.7788567836095,107.56634205274028
2654,2.569669126558893,1.300357279506236,283.3045493851223,6.825736698928025,0.0067135824151236725,3.8421764039390918,100318.1470752239,320.84239606756694,113.55091759963338
2660,1.618446330403986,1.4563626024137903,282.9095237913592,7.94099030807462,0.006411177040985661,4.711780993444707,100343.85621235325,318.6737825105574,114.28121099354959
2662,1.7070722517900534,1.4434226206071628,283.23992413986724,7.663905529412038,0.006506593178876049,4.185901023781707,101304.48854587221,320.51102296208643,115.5760104060049
2663,2.0367580851302907,1.399380795688672,283.15149769316446,7.569812994626201,0.0065968800163116615,4.12211674376862,100515.93299944313,322.5250902556963,116.93045934713908
2664,1.9435147800873525,1.3750348642622483,283.55554747180844,6.38185531147153,0.0067948952544526426,4.066715196526056,100990.68972369947,320.7211002635853,116.01741834486519
2666,1.8351710049122267,1.429254869933054,282.4259162879948,7.1096431484662865,0.006229148495679614,4.643427767430508,100165.91636804493,319.03565654461926,113.69223944354728
2669,1.9383637275501555,1.4210015253855015,283.1340658810154,8.220511404051232,0.006536224673214535,3.6454503992663234,100475.56169687689,320.30421756647644,119.46488129154484
2673,2.1958791577856367,1.3780528207301252,283.2312731560629,8.220511404051232,0.006598325236456448,3.555544170438536,100523.9297127013,320.0887814204835,117.587027112395
2674,1.555315790536433,1.4389040059436278,283.30931805420204,7.94099030807462,0.006519373457654647,4.046810100932294,101288.8371164323,320.630310451065,115.15825334075826
2676,1.7526103277193026,1.3768187948599255,282.18105207387816,7.104742687057404,0.006112382829597662,4.521642313553761,100302.1601749501,317.9842965474036,110.8056369326883
2677,2.2979999060799416,1.3696078950877524,283.2808787888069,8.204714845296765,0.006608612255246183,3.5162441083496216,100662.45355028077,319.9090081734651,116.78009276773864
2679,2.0409856604330665,1.396380819978528,283.10673381734654,7.6737342888579505,0.006546517867376676,3.802554318145621,100362.30187001718,321.1669280082602,116.75595718286233
2680,1.7155366827603695,1.412757799927651,283.13859713165346,8.253918986570142,0.006565695769019444,4.53330869974848,100379.62082416819,318.8326863970486,114.0818341242053
2681,1.9208547945384369,1.385511055800022,282.3347740920692,6.532711497684348,0.0062572858629449165,4.190933844831779,100301.04639222239,317.92997732841434,116.78211286041116
2684,1.600394447662636,1.4160479537907136,283.190730941575,7.96195184043343,0.006486530996245766,3.839828669828345,100849.77892431204,320.36760902779713,114.46543568947516
